[RightPressed] Model changed from 0 to 1 at pTime=-5450
[RightPressed] Model changed from 1 to 2 at pTime=-4937
[RightPressed] Model changed from 2 to 3 at pTime=-4468
[RaceStarted] pTime=56 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=151 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=232 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=332 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=444 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=570 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=746 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=924 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=1118 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=1301 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=1514 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=1716 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=1860 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=2044 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=2226 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=2353 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=2519 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=2713 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=2901 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3011 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3111 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3192 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3250 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3308 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3372 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3433 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3488 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3533 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3604 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3683 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3759 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3822 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3917 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=3980 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4041 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4120 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4226 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4281 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4365 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4502 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4626 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4758 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=4870 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5007 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5119 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5275 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5403 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5534 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5630 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5731 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5824 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5952 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6069 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6213 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6353 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6478 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6631 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6815 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=6971 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7165 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7211 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7281 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7394 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7475 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7549 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7622 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7682 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=7786 (>= 0), Current mHoverModel=3
[RaceStarted] pTime=5 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=88 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=145 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=208 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=260 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=315 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=366 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=420 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=470 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=518 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=586 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=637 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=690 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=747 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=807 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=858 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=916 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=962 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=1015 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=1071 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=1121 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=21 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=78 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=133 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=184 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=236 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=286 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=331 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=374 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=425 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=465 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=506 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=551 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=597 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=644 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=691 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=741 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=788 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=831 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=878 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=921 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=969 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=1015 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=1061 (>= 0), Current mHoverModel=0
[RaceStarted] pTime=1111 (>= 0), Current mHoverModel=0
