Frame 0: Character pos=(0.0, 0.0, 0.0), Room=-5995, Speed=0.00, Time=11723376
Frame 100: Character pos=(0.0, 0.0, 0.0), Room=-5503, Speed=0.00, Time=11723376
Frame 200: Character pos=(0.0, 0.0, 0.0), Room=-5000, Speed=0.00, Time=11723376
Frame 300: Character pos=(0.0, 0.0, 0.0), Room=-4512, Speed=0.00, Time=11723376
Frame 400: Character pos=(0.0, 0.0, 0.0), Room=-3992, Speed=0.00, Time=11723376
Frame 500: Character pos=(0.0, 0.0, 0.0), Room=-3478, Speed=0.00, Time=11723376
Frame 600: Character pos=(0.0, 0.0, 0.0), Room=-3055, Speed=0.00, Time=11723376
Frame 700: Character pos=(0.0, 0.0, 0.0), Room=-2577, Speed=0.00, Time=11723376
Frame 800: Character pos=(0.0, 0.0, 0.0), Room=-2169, Speed=0.00, Time=11723376
Frame 900: Character pos=(0.0, 0.0, 0.0), Room=-1677, Speed=0.00, Time=11723376
Frame 1000: Character pos=(0.0, 0.0, 0.0), Room=-1142, Speed=0.00, Time=11723376
Frame 1100: Character pos=(0.0, 0.0, 0.0), Room=-652, Speed=0.00, Time=11723376
Frame 1200: Character pos=(0.0, 0.0, 0.0), Room=-136, Speed=0.00, Time=11723376
Frame 1300: Character pos=(0.0, 0.0, 0.0), Room=409, Speed=0.00, Time=11723376
Frame 1400: Character pos=(0.0, 0.0, 0.0), Room=934, Speed=0.00, Time=11723376
Frame 1401: Character pos=(0.0, 0.0, 0.0), Room=934, Speed=0.00, Time=11723376
Frame 1500: Character pos=(0.0, 0.0, 0.0), Room=1419, Speed=0.00, Time=11723376
Frame 1600: Character pos=(0.0, 0.0, 0.0), Room=1951, Speed=0.00, Time=11723376
Frame 1700: Character pos=(0.0, 0.0, 0.0), Room=2483, Speed=0.00, Time=11723376
Frame 1800: Character pos=(0.0, 0.0, 0.0), Room=3043, Speed=0.00, Time=11723376
Frame 1900: Character pos=(0.0, 0.0, 0.0), Room=3557, Speed=0.00, Time=11723376
Frame 2000: Character pos=(0.0, 0.0, 0.0), Room=4015, Speed=0.00, Time=11723376
Frame 2100: Character pos=(0.0, 0.0, 0.0), Room=4606, Speed=0.00, Time=11723376
Frame 2200: Character pos=(0.0, 0.0, 0.0), Room=5269, Speed=0.00, Time=11723376
Frame 2300: Character pos=(0.0, 0.0, 0.0), Room=5817, Speed=0.00, Time=11723376
Frame 2400: Character pos=(0.0, 0.0, 0.0), Room=6350, Speed=0.00, Time=11723376
Frame 2500: Character pos=(0.0, 0.0, 0.0), Room=6965, Speed=0.00, Time=11723376
Frame 2600: Character pos=(0.0, 0.0, 0.0), Room=7450, Speed=0.00, Time=11723376
Frame 2700: Character pos=(0.0, 0.0, 0.0), Room=8024, Speed=0.00, Time=11723376
Frame 2800: Character pos=(0.0, 0.0, 0.0), Room=8501, Speed=0.00, Time=11723376
Frame 2900: Character pos=(0.0, 0.0, 0.0), Room=9164, Speed=0.00, Time=11723376
Frame 2900: Character pos=(0.0, 0.0, 0.0), Room=9164, Speed=0.00, Time=11723376
Frame 3000: Character pos=(0.0, 0.0, 0.0), Room=9716, Speed=0.00, Time=11723376
Frame 3100: Character pos=(0.0, 0.0, 0.0), Room=10240, Speed=0.00, Time=11723376
Frame 3200: Character pos=(0.0, 0.0, 0.0), Room=10726, Speed=0.00, Time=11723376
Frame 3300: Character pos=(0.0, 0.0, 0.0), Room=11645, Speed=0.00, Time=11723376
Frame 3400: Character pos=(0.0, 0.0, 0.0), Room=12222, Speed=0.00, Time=11723376
Frame 3500: Character pos=(0.0, 0.0, 0.0), Room=13038, Speed=0.00, Time=11723376
Frame 3600: Character pos=(0.0, 0.0, 0.0), Room=13604, Speed=0.00, Time=11723376
Frame 3700: Character pos=(0.0, 0.0, 0.0), Room=14323, Speed=0.00, Time=11723376
Frame 3800: Character pos=(0.0, 0.0, 0.0), Room=14940, Speed=0.00, Time=11723376
Frame 3900: Character pos=(0.0, 0.0, 0.0), Room=15559, Speed=0.00, Time=11723376
Frame 4000: Character pos=(0.0, 0.0, 0.0), Room=16083, Speed=0.00, Time=11723376
Frame 4100: Character pos=(0.0, 0.0, 0.0), Room=16889, Speed=0.00, Time=11723376
Frame 4200: Character pos=(0.0, 0.0, 0.0), Room=17433, Speed=0.00, Time=11723376
Frame 4300: Character pos=(0.0, 0.0, 0.0), Room=18357, Speed=0.00, Time=11723376
Frame 4400: Character pos=(0.0, 0.0, 0.0), Room=19079, Speed=0.00, Time=11723376
Frame 4500: Character pos=(0.0, 0.0, 0.0), Room=19922, Speed=0.00, Time=11723376
Frame 4600: Character pos=(0.0, 0.0, 0.0), Room=21083, Speed=0.00, Time=11723376
Frame 4700: Character pos=(0.0, 0.0, 0.0), Room=22523, Speed=0.00, Time=11723376
Frame 4800: Character pos=(0.0, 0.0, 0.0), Room=23415, Speed=0.00, Time=11723376
Frame 4900: Character pos=(0.0, 0.0, 0.0), Room=24611, Speed=0.00, Time=11723376
Frame 5000: Character pos=(0.0, 0.0, 0.0), Room=25863, Speed=0.00, Time=11723376
Frame 5100: Character pos=(0.0, 0.0, 0.0), Room=27052, Speed=0.00, Time=11723376
Frame 5200: Character pos=(0.0, 0.0, 0.0), Room=28220, Speed=0.00, Time=11723376
Frame 5300: Character pos=(0.0, 0.0, 0.0), Room=28903, Speed=0.00, Time=11723376
Frame 5400: Character pos=(0.0, 0.0, 0.0), Room=29591, Speed=0.00, Time=11723376
Frame 5500: Character pos=(0.0, 0.0, 0.0), Room=30435, Speed=0.00, Time=11723376
Frame 5600: Character pos=(0.0, 0.0, 0.0), Room=31036, Speed=0.00, Time=11723376
Frame 5700: Character pos=(0.0, 0.0, 0.0), Room=31848, Speed=0.00, Time=11723376
Frame 5800: Character pos=(0.0, 0.0, 0.0), Room=32448, Speed=0.00, Time=11723376
Frame 5900: Character pos=(0.0, 0.0, 0.0), Room=33153, Speed=0.00, Time=11723376
Frame 6000: Character pos=(0.0, 0.0, 0.0), Room=33821, Speed=0.00, Time=11723376
Frame 6100: Character pos=(0.0, 0.0, 0.0), Room=34589, Speed=0.00, Time=11723376
Frame 6200: Character pos=(0.0, 0.0, 0.0), Room=35217, Speed=0.00, Time=11723376
Frame 6300: Character pos=(0.0, 0.0, 0.0), Room=36095, Speed=0.00, Time=11723376
Frame 6400: Character pos=(0.0, 0.0, 0.0), Room=36609, Speed=0.00, Time=11723376
Frame 6500: Character pos=(0.0, 0.0, 0.0), Room=37829, Speed=0.00, Time=11723376
Frame 6600: Character pos=(0.0, 0.0, 0.0), Room=38320, Speed=0.00, Time=11723376
Frame 6700: Character pos=(0.0, 0.0, 0.0), Room=39339, Speed=0.00, Time=11723376
Frame 6800: Character pos=(0.0, 0.0, 0.0), Room=40205, Speed=0.00, Time=11723376
Frame 6900: Character pos=(0.0, 0.0, 0.0), Room=40798, Speed=0.00, Time=11723376
Frame 7000: Character pos=(0.0, 0.0, 0.0), Room=41633, Speed=0.00, Time=11723376
Frame 7100: Character pos=(0.0, 0.0, 0.0), Room=42294, Speed=0.00, Time=11723376
Frame 7200: Character pos=(0.0, 0.0, 0.0), Room=43067, Speed=0.00, Time=11723376
Frame 7300: Character pos=(0.0, 0.0, 0.0), Room=43825, Speed=0.00, Time=11723376
Frame 7400: Character pos=(0.0, 0.0, 0.0), Room=45141, Speed=0.00, Time=11723376
Frame 7500: Character pos=(0.0, 0.0, 0.0), Room=45997, Speed=0.00, Time=11723376
Frame 7600: Character pos=(0.0, 0.0, 0.0), Room=46623, Speed=0.00, Time=11723376
Frame 7700: Character pos=(0.0, 0.0, 0.0), Room=48122, Speed=0.00, Time=11723376
Frame 7800: Character pos=(0.0, 0.0, 0.0), Room=50913, Speed=0.00, Time=11723376
